	Sample_14456	Sample_18636	Sample_18637	Sample_20028	Sample_22793	Sample_25572	Sample_25573	Sample_26984	Sample_26985	Sample_501
AARS2	7.0372887505751	7.03028361589739	7.05329317257725	7.07397538519645	7.22488874736978	6.94619449498085	7.04608928299371	7.03884938611221	6.64188875419238	6.85416963454227
AASDH	7.36103237502055	7.04198828011488	7.43732553584143	7.30895080614452	7.29926756266902	7.26204460885694	7.28356419243242	7.63055831482079	7.49459293548816	7.09279522927072
AASDHPPT	8.55649201881841	8.62320108275767	8.79269785521565	8.79914820980108	8.02012593520354	8.68941595924825	8.66470197147823	9.11296695115035	8.54290127601226	8.37345715296149
AASS	3.95570539817966	4.02972676476147	4.13658289478633	4.4570224806351	4.387996305436	4.23958424741771	4.03603677649121	4.60416053970834	4.25334742923862	4.03156362614016
AATBC	7.64537777225575	7.2758368692629	5.4956685097661	6.65650559739654	4.82610696243563	5.06706742337768	6.59667538645005	5.25142993197719	8.52870620943125	9.43026593739862
AATF	8.32203449263936	8.68380705121842	8.53631103153106	8.82216202845016	8.65188940474436	8.4783944822604	8.67356429861329	8.38911363033229	8.350840584476	8.43052524043837
AATK	7.33967255087973	6.98752575833456	7.32822880759478	7.13792775741757	7.6149771533175	7.31894331893265	7.28182579506071	7.09401619244307	7.2137121484599	7.62923642017839
ABAT	5.95964128169127	5.95959506123901	5.73253011985263	5.77611079658145	5.28394273617488	5.2874628325633	5.63605550271817	5.83602485758965	6.3286322450706	5.53059114094567
ABCA1	4.45487051956664	4.27914461383858	4.69578029529342	4.55988024288132	4.4439752083184	4.46043304810197	4.33940969384902	4.34864664276075	4.34785960617624	4.27989217148222
ABCA11P	5.27526415180458	5.24106076058072	5.15459348302677	5.08282072749495	5.51653945720874	5.17525947787085	5.23378016478359	5.31117087357829	5.43208464391551	5.04897115502165
ABCA12	3.35825642918211	3.27946089510561	3.36010048694605	3.21948215508144	3.16095818543935	3.3564110937052	3.3699338849474	3.30385226663033	3.17968298447645	3.37531317787112
ABCA13	2.82190781825039	2.86177725018944	2.94953567631481	3.01533228012962	2.96345060904934	3.03144224797166	2.85584241041159	3.19336727928682	2.88221097359403	2.88858917374713
ABCA17P	4.15509421706616	4.17114865908238	4.69035470354968	4.29862551578746	4.352027332915	4.26141887858881	4.273921250686	4.12858854813593	4.25274213515865	4.45049770480439
ABCA2	6.67960153284966	6.44268573323026	6.52148262941083	5.93142004903811	6.28284991291331	6.45437784933319	6.00541462500741	5.87260211478426	6.00660886733395	6.19045054238611
ABCA3	5.69283498095116	5.60914766886507	5.76612559737384	5.89807466013259	5.81778951771022	5.59539590512062	5.69445087233144	5.42238342702682	5.26004292090363	5.61694174878814
ABCA4	4.51024332058299	4.44956000093778	4.36380156047859	4.27312664692932	4.65915427143478	4.45593699469998	4.45441638704484	4.53094744353564	4.46279284776928	4.57649006737125
ABCA5	7.06056788113257	6.6929830829079	7.67463248827642	7.18826776691291	7.09134722597158	6.87025143506772	7.11705326798456	7.16988148182466	6.89692968858002	6.70588930542397
ABCA6	3.56095998249692	4.97880624234896	3.62958744926029	3.78571970164095	3.70541925556392	3.52153533635645	3.58364896131076	3.79158451846732	3.8339792910503	3.58340222498175
ABCA7	6.91294989068391	7.52217734314782	6.27488211503102	7.2991933427411	7.39750500065018	7.1193375436126	6.54157707863288	6.84871968341948	7.12870954080021	6.95821871598936
ABCA8	3.67322735310615	3.62663315316368	3.62146137463197	3.74758736314369	3.652555537356	3.59710944799362	3.73902396302714	3.64902445833529	3.70812374443986	3.68000594893638
ABCA9	3.66410856438305	3.85318682183804	3.76152137174459	3.72493470623398	3.69948490745078	3.81759753126231	3.68001373176069	3.51424236981795	3.58237448121137	3.83664943052696
ABCB1	6.15523555652121	6.13729677571762	5.84159500487659	4.92191698432626	5.58024580585323	5.67210134774818	5.14310777440001	4.86036458771108	5.38756608801522	5.46762091760755
ABCB10	8.14662959389147	8.24097277654744	8.44370784360056	8.261607562405	7.5145758225882	7.79828557860309	8.05405901789217	8.31047905238862	8.24489348880477	8.11512504464291
ABCB11	3.76179762913682	3.55174863358543	3.67738632080485	3.69857434903118	3.70364826108961	3.59629543070245	3.70942286281459	3.77623736668275	3.78292149570582	3.62011700657263
ABCB4	3.93309543925994	3.80903409594468	3.79283481563567	4.20100539965061	3.88735751325429	3.85159570450701	3.81192645572002	3.89458319789853	3.93678053625526	4.04325061615681
ABCB5	4.22070642799351	4.13614979707207	4.10488623500789	4.24037291446192	4.15693471797523	4.2852085118347	4.23616525849558	4.36320349216111	4.35087546185193	4.30019499996025
ABCB7	7.48527601208463	7.61905512663738	7.46572962716213	7.63164639988727	7.19278390632144	7.3020247781353	7.44302396282591	7.5918168183419	7.43868093605785	7.09265898194498
ABCB8	5.44513144654294	5.39930475284101	5.7049356572944	5.25583276540858	5.75670432061069	5.54154040458481	5.59232714961306	5.56379658209528	5.48219261042828	5.58107356089998
ABCB9	4.66071398516631	4.48790827977561	4.56038517224998	4.7596048850833	4.74486391560983	4.73456588559597	4.63823185405719	4.68845099501734	4.65492639112365	4.65554462847171
ABCC1	7.52018776843588	7.4563189534036	8.54446753461142	7.96243871941255	7.87059178924541	8.09487616537601	7.92445983177223	8.20955906338252	7.74700955338305	7.60304836618324
ABCC10	8.2304827453815	8.03858089332509	8.30037063368729	8.24074383193693	7.70629255402644	8.08264641611014	8.1984037819792	8.41935107253156	8.21206758450182	8.14027353348848
ABCC11	4.77619644600149	4.67797245504637	4.5980165755818	4.80217635604799	4.85671238441886	4.74437291084031	4.68617217100003	4.59986339956689	4.81895345954751	4.732181608391
ABCC12	3.90229580798584	3.90614691853904	3.88806796269387	3.87555890363311	3.93900125054957	4.10559898975856	3.71209598578807	3.82773099638277	3.94695032279809	3.99269439033036
ABCC13	3.97568837100715	3.88943907147651	4.00241643109047	3.89478227445459	4.01860638080822	4.10886097036723	4.03499370412194	4.01320081261623	3.96862172056207	3.98501152649837
ABCC2	4.90211674098326	4.66821334653922	4.46104016295628	4.85564334393748	4.90099662823629	4.85873864985402	4.9772698053058	5.0020854744183	4.92539820377662	4.72432482079076
ABCC3	5.37139518864956	5.16817928375809	5.4444181673005	5.42905194632031	5.35179883054154	5.32138061483004	5.23181630978365	5.25622835741338	5.48121518731268	5.51803590693862
ABCC4	4.88594068462719	4.79088969346723	4.61100662875307	4.75293713028788	5.05929046007818	4.77566069606548	5.22472644802625	5.13722652113016	4.71039392800404	4.83424751534481
ABCC5	6.03209086954595	5.82101292444682	6.41052018076817	6.16663044603805	5.94660032314599	6.01193408356783	6.10208140584177	6.13629927590738	5.96684736189732	6.06201768903869
ABCC6	4.44542597680438	4.13102999318792	4.38472954815257	4.41888045021726	4.27890950777674	4.47751717769973	4.3782136563616	4.32500463311532	4.3974532487658	4.50486532525331
ABCC6P1	3.64382044095761	3.63956283975791	3.49325129356627	3.42590663834121	3.68259168946624	3.26100984882856	3.62102198656202	3.23176130956004	3.38387230770237	3.23166097353163
ABCC8	5.56640627340224	5.57469767720182	5.50001052388841	5.55600497213993	5.78653281763341	5.75202500476467	5.54101593366207	5.58113381721243	5.61943350853512	5.61122380471164
ABCC9	3.75024518778951	3.88810500450904	3.9271919863254	3.90684109452554	4.06555250067326	3.89690104016314	3.84610456451916	3.87695258105573	3.7986498620851	3.90642633634385
ABCD1	6.52073888691933	6.40574730693651	6.1874493639125	6.38383959950604	6.49510834298867	6.29364312105685	6.34701653320509	6.06969278196878	6.35428604221481	6.54688521132763
ABCD1P2	4.1305819372314	4.15136854393003	4.06267295607847	4.16467651970818	4.128602834102	4.09691714884647	4.08525693501428	3.98602305176945	4.2036706099518	4.07612870188186
ABCD2	3.62065674188212	3.58753626528017	3.64704880513877	3.63229038852857	3.91512815333251	4.01394634488724	3.43114234628933	4.02482421340978	3.96842593401755	3.48651278780647
ABCD3	6.97335182601854	6.85270227209628	7.06330750824363	7.33641944059283	7.103097348711	6.91404808296227	7.16763849879799	6.634852885936	6.96020019464527	7.06190371142249
ABCD4	6.50818320977157	6.19122511944216	6.33095745771288	6.3784278549787	6.52080797411577	6.34217699993796	6.33927884629493	6.49379666399	6.31435021158641	6.39866413729971
ABCE1	8.18887587485776	8.79161411003425	8.54967574090022	8.51125500952704	8.38846643129567	8.38296632086809	8.49209284082512	8.70004732528457	8.62936182528174	8.10855133147239
ABCF1	8.3469081282516	8.42940040313703	8.5290539595132	8.48064885647917	8.55880156902792	8.43381845665856	8.35611741062536	8.50569733769646	8.24952271732954	8.13648776995909
ABCF2	6.75106230187255	6.89231632628899	6.94246287138955	7.0294614920704	6.9297518729147	6.67201798916391	6.87853549618926	6.82322223689387	6.75296105336198	6.78894532786358
ABCF3	6.8810842034793	6.68157180736059	6.99689857144013	6.86507627070591	7.14470475597455	6.90691327507914	6.75079645142457	6.81397322384145	6.8259707654624	6.70878220837034
ABCG1	5.87856635189994	5.74823838252819	6.31235254291697	6.66365211124315	6.67622728666429	6.20840689743963	6.4803444676974	5.9124183193105	5.8733433580102	5.56378860518461
ABCG2	4.48433080861333	4.43466265052436	4.32246438598377	4.50498781737025	4.2562744128724	4.32685879906729	4.41974359768467	4.32586582757339	4.42560160750763	4.23333913406322
ABCG4	4.94644539416882	5.04318979409867	4.67344147040658	4.89816955156161	5.07747133301703	5.16146153672251	4.93371993309553	4.91972429024166	4.93309531805655	5.04598355598537
ABCG5	3.81845575666655	3.74864234930019	3.77183886378079	3.83736213742728	3.76639432049979	3.54033589013751	4.02336076019137	3.88263499788734	3.71263931173464	3.79194248686082
ABCG8	4.14597109426449	4.19834859154648	4.29054303673476	4.23230509106092	4.2792895176385	4.23436967642543	4.39252144286373	4.39683840671436	4.17071011991253	4.19660292301752
ABHD1	4.61797851451658	4.4076627451898	4.43168141785097	4.33793216290793	4.62692343821051	4.69921352582944	4.66850513295735	4.64530422697539	4.63263402430857	4.62513869799104
ABHD10	6.79647270839789	7.21702923461342	7.03897026525645	6.99748462701685	6.86528111165099	6.8904153394159	6.84942444233304	7.10681322521365	7.00180362775746	6.6741331608444
ABHD11	5.86540981028	5.7024546042421	5.86139082841981	5.71250509647615	6.02428629134541	5.82663163795004	5.82135072860076	5.75653846699276	5.84902485628837	5.92338362815713
ABHD12	5.90268251144199	6.2664790365955	5.88044876525092	6.43560864678554	6.16310901292684	5.82122038111558	6.0367830644525	5.68421920303868	6.25528903525558	5.89849144896883
ABHD12B	3.26481428901201	3.27173991406371	3.15069067522193	3.39564253783432	3.39085018872484	3.28214471053738	3.35903112150784	3.20152162073368	3.23423401839269	3.23656951757047
ABHD13	5.90524239887687	6.15217122853139	6.25082168251984	6.54072993401208	6.06402183143138	5.64877672496741	5.95481179557921	6.24413346902895	6.42740140322813	6.1096108688427
ABHD14A	5.74063417840832	5.80921694875197	5.91506099116167	6.17355622475693	6.293912144884	6.00696559686132	6.13057396534979	5.77704304951784	5.96981461529518	5.93079169360824
ABHD14B	8.39296052283935	8.22246747621836	8.55796985426155	8.54789154503169	9.44088431599201	8.69763362221507	8.49034667970428	8.57107188125057	8.67579699176774	8.52808250091109
ABHD15	6.22755970832111	8.24730115082077	6.17993668804525	6.49037829529721	6.65020135173669	6.32357910843372	5.66136088730224	6.20905470674054	6.17512957453509	6.13048466614438
ABHD16A	4.71141701051887	4.68404881752752	4.55940253165079	4.63795304148838	4.91095688321941	4.57996248234687	4.61563539822653	4.32161581764282	4.86722221053639	4.62691495260573
ABHD16B	4.11253790665224	4.01147048874091	3.96217329992238	4.42937432134085	4.10221431474983	4.00240192807916	3.96278376605979	4.05963594219528	4.21946847126697	4.14612686703922
ABHD17B	7.08640957295064	7.66839336761772	7.28199142077932	6.94381191305437	6.80729828093942	7.40516842283703	7.41118903850506	7.73826454259122	7.27389304278408	6.9537790211806
ABHD17C	4.71167924720171	5.6237538544096	5.26938736741595	5.5803274903788	5.35665198615055	5.21291769424898	5.26799244213835	5.16605601313426	4.69832152242486	5.03552719919681
ABHD18	7.38307226788211	7.52408812301543	7.63191669444456	7.33615979852485	7.51636165327735	7.43647088111819	7.55618112292516	7.71157778609492	7.73661060658345	7.37456954745071
ABHD2	6.55276893540233	6.38672504439112	6.622702553277	6.59171599657022	6.68099184949941	6.59709443728241	6.63058468917785	6.77635535591402	6.58104833195252	7.00875471948511
ABHD3	9.7500020469491	9.72319147024063	9.98073477162715	9.50996285741612	9.41389795423691	9.74566641023455	9.70610103174977	10.09202708416	9.93988278731453	9.40841062616666
ABHD4	5.96651588646275	5.75731691582972	5.95894703533649	5.66191850787694	5.7991572966019	5.86910955281679	5.80445259931692	5.84659667356715	5.56631068493081	5.81054457739315
ABHD5	6.69774876581277	5.71244005966805	6.00072756444925	6.14650097732488	5.28590742872655	5.65975297476743	6.10386668953976	5.68237818130452	6.16597076127377	5.92709877372493
ABHD6	5.02737270461281	5.75414714516852	5.03498451181647	5.14921614014598	4.73849462415338	4.98471477816987	4.6611962308636	4.93125375052981	5.23917175772518	5.01887931157393
ABHD8	4.8698983254569	5.10866540080423	4.77813504975255	4.9068394397497	4.94322994983675	4.82621790533559	4.7729321249929	4.63951961162256	4.77551675244906	4.87209121656499
ABI1	9.54855062756852	9.96628048092294	9.7030152408962	9.71899297737006	9.53046052260759	9.53408389043963	9.58762809532401	9.76376218501243	9.72119193666618	9.47665959508407
ABI2	7.10845952865409	7.41505581327126	7.00155734963899	7.16565050601107	7.39316792937979	7.18746907538113	7.2223483032306	7.19531150484211	7.12976882054497	6.86526744325334
ABI3	7.40837913318235	7.4780579898135	7.52965268469771	7.7726021929311	7.09397318439671	7.48925985421156	7.14832616321022	6.99714842719587	7.61179281672312	7.50832422380641
ABI3BP	3.44214690774987	3.47030639498174	3.41280418904592	3.39340717349067	3.46694220888868	3.46356331874942	3.46497064272388	3.49454044234113	3.42851339474492	3.49600766995982
ABL1	7.22507395128397	7.7526900601743	7.721749324135	7.44988854306697	7.31816226068822	7.82143249897556	7.48671583565855	7.77077235198091	7.33396623107948	7.51548071348734
ABL2	6.1646493133602	6.14810714552288	6.37199715860676	6.02815982816161	6.38356705278044	6.24324619769435	6.41449082068774	6.19177882604536	6.15995490369319	6.1816540575867
ABLIM1	8.72139306367152	7.99360268649665	8.79244748383341	8.91116995535852	9.5273226302519	8.71003952174229	9.09067195185411	9.06013693486738	8.73070617075846	8.58502891903166
ABLIM2	5.36937790310929	5.29576348092816	5.29766122969696	5.02754669281284	5.48135786039975	5.39571382906422	5.25078329868928	5.33698152399953	5.35208272449982	5.42865893179051
ABLIM3	5.28070008387844	5.18613391594038	4.93528118598669	4.91435876744282	5.57219513064166	5.55730725640067	5.27896850402747	5.21609667519715	5.2797953593638	5.10272406046095
ABO	4.07800385434989	4.25934032866292	4.00056383793622	4.06564598690044	4.14684693070751	4.02080969651838	3.82496750330773	3.9547803502955	4.41951954532631	4.24234007034446
ABR	5.45285535570574	5.37862987079089	5.47331040751133	5.70595336272745	5.47523791825131	5.59798132531256	5.47067997434933	5.38808655646149	5.43631449499462	5.63457088425282
ABRA	3.43371148381362	3.46525730570288	3.43146881181235	3.61148553299994	3.5040040306832	3.43626740499742	3.46049716372162	3.36146331400192	3.67637726722279	3.39863235701184
ABRACL	10.2591245848929	10.3238374302776	10.7164282934189	10.5582352624942	10.2863371459214	10.6219107417993	10.3559761062593	10.6161744554896	10.6101662441219	10.3042392481109
ABRAXAS1	6.39768399591476	6.37697866187203	6.99604775497655	6.87579659985921	6.93856088737996	6.36832914230066	6.87815846587761	7.18314456118071	7.07979347059945	6.13333413857708
ABRAXAS2	6.98967221226266	7.17572975212152	7.0155102752168	7.02974155303575	6.8350681085227	7.16145651703297	6.90563048573505	7.18866524815764	7.08987142844634	6.93422839285613
ABT1	7.36479786830989	7.49312009765967	7.67916082895465	7.56457298005829	7.76770253976346	7.58742078412425	7.63236559369461	7.727481958975	7.54221733204009	7.26657744304782
ABTB1	5.91519126126793	5.65302561666408	5.95627485473948	5.91215313577956	5.97069795794901	5.75439147191558	5.97931847278878	5.84477268462641	5.91759500742247	5.92358251445262
ABTB2	5.02127906101091	5.32393307585428	5.07570439249957	5.12760847006024	5.09581176660399	5.10418630829957	5.16026108374535	4.9839036223692	4.76471839695143	5.02075155299685
AC000095.2	4.34750421678953	4.3579432975384	4.2854216121857	4.3197645875051	4.34755241336061	4.53328735349611	4.26691591218275	4.29765084242165	4.34621859148866	4.45531783041072
AC000099.1	4.15214821291395	3.93248415959815	4.02904639461309	4.03826476796385	4.37866183027738	4.16402097774154	4.17174772386118	4.01985531371653	4.18572155869532	3.9074839058125
AC000123.2	4.13395574965169	4.43365079352217	4.37125794888634	4.00439633289077	4.14188324833905	4.23197482850408	4.11328403807362	3.99130340281988	4.52043116128464	4.07507276776868
AC000123.3	4.69736767299447	4.67287791818011	4.70554870396702	4.5597407351238	4.89994208939647	4.80303619538318	4.88063895839093	4.70062698111042	4.76734754396608	4.69134607616776
AC002059.1	5.61046372542575	5.46905946791444	5.09354459671417	5.43468051949217	5.40919823881407	5.40157327050939	5.64237340772103	5.31332664035541	5.65412810643993	5.55674601286027
AC002064.1	4.36155058676843	4.21169159009106	4.26301394028877	4.20272884556989	4.05713099962071	4.4977659631298	4.28638259111088	4.27893291086535	4.28195734402749	4.31420604926284
AC002070.1	4.16780831543434	4.84754153654727	4.49106954818753	4.39262961072693	4.50078620446504	4.6886737357491	4.42578587621675	4.33389521519575	4.66188945150273	4.39423475251859
AC002310.1	4.57186567512341	4.50213094383788	4.7365648497924	4.36857069540481	4.33864020357966	4.74564799670372	4.47752997623487	4.92218949536176	4.55091462084977	4.65690942471861
AC002310.2	4.56850404646331	4.48786199647504	4.35164051127707	4.24622828258612	4.40568793651785	4.34504899943848	4.49582697211453	4.53000133315685	4.48749405901742	4.47189756424243
AC002463.1	2.9398395423814	2.99313805781316	2.88171574812401	3.059464641962	3.06866055149488	2.90840938360715	3.02220982270434	2.95922293212213	2.96086399905961	3.00391110185832
AC002464.1	3.41053671702255	3.51864751267075	3.40293371535675	3.62306524161145	3.37924489847407	3.44795306271667	3.43196810947043	3.55149023156079	3.45919810818786	3.24208211671898
AC002467.1	5.34586367057049	5.65231014345466	5.34136139582827	5.68066641383868	4.92409585709187	5.32163027643955	5.40480888002871	5.26771444881213	5.33444636814999	5.25572857417297
AC002480.1	3.90789451459016	3.96567615600838	4.03433101364292	3.84241911759694	3.98460968080202	4.12910863830521	4.14279820698289	3.94385546234108	4.00828664475252	4.19491443634382
AC002480.4	5.0810317445872	5.10425798863534	4.8794337668146	5.0747519906516	5.14373490997624	4.98414493002055	4.8702389994307	4.93504729883091	4.863069200309	4.99237041264116
AC002546.1	5.57038022345644	5.75777570855443	5.78765615351267	5.51995180996843	5.67669071015307	5.43681452817519	5.25206694862815	5.77865593993905	5.86366387569421	5.39766179111338
AC002553.1	4.77215033506271	4.87148704280178	5.05454221020626	5.54741048567037	4.66482240028408	4.61123618194755	5.17285495341173	4.78414193038572	4.87651155792062	4.62360822450561
AC003075.1	5.10598013329225	5.15755620960138	5.65131307587044	5.8930268853345	5.37069055768956	5.15273593465083	5.3705137700489	5.62256268795245	5.25654708106748	5.2090762971162
AC003102.1	6.4558850558339	6.31756635971555	6.25853741676369	6.43261050888717	6.51880384688074	5.5067064212807	6.1057053865686	5.61177969852162	5.90126530496095	5.97038171689788
AC003973.2	3.4431833735157	3.42320234661637	3.42042197059	3.51946904231506	3.55280949335118	3.55419027510877	3.33101152231669	3.47803763351869	3.46327970763412	3.48726461648697
AC003986.1	5.63487549586075	5.30505865502673	5.41152531568888	5.63803244738161	5.64260906306514	5.57463133233366	5.38808314314698	5.40760093314261	5.4242564689344	5.62095390387268
AC003989.1	5.20276527749141	5.04048112664228	5.23276871735782	5.33507778397781	5.41716968866058	5.37348035918831	5.24415587314331	5.30375306975421	5.48186789659385	5.61794816438471
AC004009.3	3.29639775887471	3.23509303502489	3.11626270263305	3.14982099128621	3.36099925192318	3.22481235394967	3.36626991900414	3.37754627416904	3.27349376175992	3.20430548478136
AC004023.1	3.74899355153064	3.65949986545001	3.48722632008598	3.71890326999833	3.78681125788783	3.87386836298387	3.96032752591565	3.9137231636727	3.68518369452226	3.75618341168599
AC004039.1	3.76578124008534	3.84677064400426	3.69895977992071	3.55870279714732	3.59011302962842	3.84545605704057	3.81934312943379	3.65270886959965	3.57784769882927	3.82888968646602
AC004076.2	5.80842741366977	5.23920175828272	5.44694801182711	4.87891545460935	5.53923019411264	5.13561056412803	5.32460298868784	6.12880909431029	5.19579899092395	5.40798688964287
AC004130.1	5.3663487874454	5.14078992910806	5.19254318422249	5.31154112955386	5.20787725442503	5.33782505693702	5.60616475773483	5.9622836564551	5.19296945687313	5.46016342830464
AC004158.1	3.17231173619553	3.33991841083306	3.22867449790875	3.1289382545295	3.24096681764342	3.21177101280842	3.14526133842114	3.16194593501484	3.13390823168687	3.24303171798223
AC004160.1	3.66655454805261	3.66689477279498	3.65292865231552	3.73227225444717	3.67644250028505	3.68524379414984	3.95300437446218	3.96845070089046	3.73763015567807	3.74878921215156
AC004232.3	3.51138305964039	3.45092943367686	3.69940665631749	3.45863227472539	3.57857175510038	3.56056943611407	3.75789387739398	3.60543323998281	3.59730374397503	3.6651525177713
AC004233.2	5.84704012760048	5.94973117760867	5.81057617418773	6.12666406986174	6.02999559478296	5.91628093356392	6.20707263860115	6.04640104818566	5.67607085505645	6.19767646405701
AC004233.3	5.47830199349881	5.39026814804303	5.22091562425681	5.66060720316355	5.75127044757713	5.5794729626928	5.36475573716885	5.20272982205127	5.94692294860069	5.51595291736115
AC004241.1	4.61493207856805	4.7552116954699	4.66012623158037	4.78417738465964	4.77011691541647	4.6252508147021	4.52873319006182	4.80391117526885	4.81919226475732	4.80848248421774
AC004241.4	4.42411747969455	4.21849497887335	4.43045038825911	4.37171512197436	4.12339995700212	4.20923611864278	4.46081136573027	4.30851626756962	4.57922556837132	4.38079827257749
AC004241.5	4.48226105905284	4.24118530445262	4.41745908313957	4.3720283311706	4.45736466805236	4.57313314818153	4.34926700444284	4.22504012893991	4.41118307246324	4.58802175188694
AC004264.1	5.13874111140636	5.04295806471384	4.86651937907072	4.65126228377668	4.70034594055498	4.92347877736909	4.77986894029876	4.89248186354891	5.12346948497926	4.98856008371218
AC004477.1	5.27306722125304	5.1621076981867	4.82572421006466	5.06923540888444	5.26701511131066	5.15520891296329	4.929607523621	5.20964921352355	5.25383370018003	5.37944157898003
AC004520.1	4.61174334649845	4.09486064331109	4.54538590427301	3.76376518364058	4.44551790086115	4.0513932140627	4.06311081359984	3.91631170301266	4.13685457435117	4.22043723940734
AC004522.1	5.70263283300057	5.40398992198261	5.68022712780185	5.52973889607782	5.7672716298355	5.63966963419814	5.78250234906374	5.50583829044578	5.58526726901413	5.58679461312397
AC004528.1	3.28177455029256	3.51091909170386	3.13268605336389	3.34460061545167	3.49012471476857	3.41922669396416	3.26840748568378	3.37556048505751	3.23269121803918	3.26254438134253
AC004528.2	4.41380605838081	4.53661777555845	4.24666160488833	3.98855787640522	4.45455832655038	4.35037614214028	4.35877359147086	4.27659254186237	4.41418984466259	4.4084891995563
AC004540.1	4.01412503575287	4.21199366702314	4.23415150996051	4.25000689860039	4.0064124789183	4.23534012522773	4.09567955450666	4.30833649351256	4.11436697458543	4.15784284792814
AC004590.1	4.21489922069184	4.15469245001981	4.14630657410833	3.93137872436491	4.33206877950814	4.24519304975639	4.22099330783154	4.01962779332824	4.1693983209464	4.30215258288376
AC004623.1	3.02526598878266	3.13690016953474	3.01045602327444	2.97329766982999	2.93810755300058	2.98052486218994	2.9619014703075	3.11684855714386	2.91159007963686	3.01093205298984
AC004656.1	8.10975941109883	7.9224336221269	8.45653026316078	8.07195295453119	8.54285815564636	8.46144001164237	8.37401983179206	8.63387767042086	8.55763127922838	8.7203416634983
AC004690.2	3.36626366757736	3.40545482155582	3.4109469473926	3.50842359196055	3.47254002634218	3.44565363008441	3.48741184439206	3.57354056106619	3.46186043213095	3.45933709874263
